CURSO_ACADEMICO;NOMBRE_PROGRAMA_MOVILIDAD;NOMBRE_AREA_ESTUDIOS_MOV;CENTRO;IN_OUT;NOMBRE_IDIOMA_NIVEL_MOVILIDAD;PAIS_UNIVERSIDAD_ACUERDO;UNIVERSIDAD_ACUERDO;PLAZAS_OFERTADAS_ALUMNOS;PLAZAS_ASIGNADAS_ALUMNOS_OUT;FECHA_ACTUALIZACION
2016;ERASMUS;0211-Técnicas audiovisuales y producción para medios de comunicación;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;GRIEGO - B2 (Nivel avanzado);Grecia;Technologiko Ekpedeftiko Idrima - Athinas (Grecia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Hochschule Darmstadt (Alemania);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Alemania;Hochschule Coburg (Alemania);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Finlandia;Savonia University Of Applied Sciences (Finlandia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Francia;Universite Paul Sabatier - Toulouse Iii (Francia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Grecia;Technologiko Ekpedeftiko Idrima - Ditikis Makedonias (Grecia);4;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Politecnico Di Torino (Italia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Polonia;Akademia Sztuk Pieknych W Poznaniu (Polonia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Polonia;Politechnika Poznanska (Polonia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Polonia;Szkola Wyzsza Psychologii Spolecznej (Polonia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Portugal;Instituto Politécnico Do Porto (Portugal);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Reino Unido;Loughborough University (Reino Unido);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Suecia;Luleå Tekniska Universitet (Suecia);1;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Suecia;Mälardalens Högskola (Suecia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;ESPAÑOL - B1 (Nivel intermedio);Suecia;Stiftelsen Högskolan I Jönköping (Suecia);1;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;INGLÉS - B1 (Nivel intermedio);Grecia;Technologiko Ekpedeftiko Idrima - Ditikis Makedonias (Grecia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;IN;No Informado;Italia;Università Degli Studi Di Camerino (Italia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;ALEMÁN - B1 (Nivel intermedio);Alemania;Hochschule Coburg (Alemania);2;1;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;FRANCÉS - B1 (Nivel intermedio);Francia;Universite Paul Sabatier - Toulouse Iii (Francia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;GRIEGO - B1 (Nivel intermedio);Grecia;Technologiko Ekpedeftiko Idrima - Ditikis Makedonias (Grecia);2;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Alemania;Hochschule Darmstadt (Alemania);2;1;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Grecia;Technologiko Ekpedeftiko Idrima - Ditikis Makedonias (Grecia);4;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Polonia;Akademia Sztuk Pieknych W Poznaniu (Polonia);2;3;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Polonia;Szkola Wyzsza Psychologii Spolecznej (Polonia);2;4;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Portugal;Instituto Politécnico Do Porto (Portugal);2;4;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Reino Unido;Loughborough University (Reino Unido);4;0;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Suecia;Luleå Tekniska Universitet (Suecia);1;1;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B1 (Nivel intermedio);Suecia;Stiftelsen Högskolan I Jönköping (Suecia);2;3;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B2 (Nivel avanzado);Finlandia;Savonia University Of Applied Sciences (Finlandia);2;4;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;INGLÉS - B2 (Nivel avanzado);Suecia;Mälardalens Högskola (Suecia);2;2;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;ITALIANO - B1 (Nivel intermedio);Italia;Politecnico Di Torino (Italia);2;2;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;No Informado;Italia;Università Degli Studi Di Camerino (Italia);2;1;29/04/2018
2016;ERASMUS;0212-Diseño industrial, de moda y de interiores;Escuela de Ingeniería y Arquitectura;OUT;OTROS - B1 (Nivel intermedio);Polonia;Politechnika Poznanska (Polonia);2;3;29/04/2018
