CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2018;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Abandono Voluntario;Hombres;0;10;2;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Hombres;9;0;0;0;7.75;83.35;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Mujeres;13;0;0;0;5.50;91.62;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Abandono Voluntario;Hombres;0;13;1;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Abandono Voluntario;Mujeres;0;2;0;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Graduado;Hombres;5;0;0;0;4.75;90.74;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Graduado;Mujeres;2;0;0;0;5.50;83.96;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Hombres;0;13;7;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Mujeres;0;2;0;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Cambio de estudios sin simultaneidad;Hombres;0;4;4;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Graduado;Hombres;15;0;0;0;6.67;67.89;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Graduado;Mujeres;2;0;0;0;5.00;95.35;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Incumple Régimen de permanencia;Mujeres;0;1;1;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Abandono Voluntario;Hombres;0;13;5;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Graduado;Hombres;19;0;0;0;5.73;74.84;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Graduado;Mujeres;3;0;0;0;5.00;87.75;27/09/2020
2018;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;27/09/2020
2018;Huesca;Diplomado en Nutrición Humana;Diplomatura o equivalente;Traslado a otra Universidad;Hombres;0;0;0;1;;;27/09/2020
2018;Huesca;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;29;6;0;;;27/09/2020
2018;Huesca;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;18;7;0;;;27/09/2020
2018;Huesca;Grado: Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Hombres;0;5;4;0;;;27/09/2020
