CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2017;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;214;32;60;30;0;0;0;20;5;6;10642.00;553.50;5.50;82.60;71.67;83.27;0.00;0.00;05/01/2020
2017;Facultad de Ciencias de la Salud;1-Enfermería;Grado;619;160;160;150;0;0;0;36;8;9;36405.00;1883.00;4.06;96.83;94.13;96.61;0.00;0.00;05/01/2020
2017;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;205;53;54;52;0;0;0;13;;2;12148.00;799.00;4.02;97.25;94.21;97.65;0.00;0.00;05/01/2020
2017;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;134;33;33;16;0;0;0;5;;1;7793.00;198.00;4.15;98.82;97.48;95.89;0.00;0.00;05/01/2020
2017;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;171;26;55;29;0;0;0;19;8;18;9345.00;100.00;4.71;93.85;83.08;92.81;0.00;0.00;05/01/2020
2017;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;357;82;85;66;0;0;0;37;15;38;21265.00;474.50;4.28;89.69;85.33;93.19;0.00;0.00;05/01/2020
2017;Facultad de Filosofía y Letras;1-Filosofía;Grado;220;59;60;17;0;0;0;5;26;7;11749.50;16.50;4.53;86.91;66.19;88.98;0.00;0.00;05/01/2020
2017;Facultad de Filosofía y Letras;1-Periodismo;Grado;256;61;60;46;0;0;0;21;55;29;14610.00;252.50;4.28;97.86;94.22;98.12;0.00;0.00;05/01/2020
2017;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;85;22;36;18;0;0;0;10;7;3;4161.00;60.50;4.46;85.81;80.84;94.91;0.00;0.00;05/01/2020
2017;Facultad de Ciencias de la Salud;1-Fisioterapia;Grado;249;62;60;53;0;0;0;15;2;11;14529.00;618.00;4.02;96.94;92.56;96.10;0.00;0.00;05/01/2020
2017;Facultad de Ciencias de la Salud;1-Terapia Ocupacional;Grado;309;76;80;69;0;0;0;3;5;0;18073.00;111.00;4.20;94.62;91.64;93.32;0.00;0.00;05/01/2020
2017;Facultad de Ciencias Sociales y del Trabajo;1-Trabajo Social;Grado;713;179;180;142;4;2;2;64;42;33;40970.00;1057.50;4.31;92.37;87.02;93.95;0.00;0.00;05/01/2020
2017;Escuela de Ingeniería y Arquitectura;1-Ingeniero en Diseño Industrial y Desarrollo de Producto;Grado;321;75;75;61;0;0;0;70;26;20;19557.00;958.50;4.21;89.76;83.24;87.54;0.00;0.00;05/01/2020
2017;Facultad de Veterinaria;1-Ciencia y Tecnología de los Alimentos;Grado;255;61;60;43;0;0;0;40;4;10;14749.00;2624.50;4.32;89.85;85.18;93.25;0.00;0.00;05/01/2020
2017;Facultad de Ciencias de la Salud y del Deporte;1-Ciencias de la Actividad Física y del Deporte;Grado;306;70;70;52;0;0;0;36;4;15;16851.00;556.00;4.39;94.23;88.93;93.39;0.00;0.00;05/01/2020
2017;Facultad de Ciencias;1-Geología;Grado;125;27;67;8;0;0;0;4;10;1;7127.00;335.50;5.14;80.29;68.97;82.65;0.00;0.00;05/01/2020
2017;Facultad de Ciencias;1-Óptica y Optometría;Grado;242;60;60;41;0;0;0;3;;6;14606.00;216.00;4.33;86.16;79.81;90.72;0.00;0.00;05/01/2020
2017;Facultad de Educación;1-Magisterio en Educación Primaria;Grado;1173;240;240;230;54;25;16;112;17;48;62202.00;7736.00;4.40;94.44;88.93;93.59;0.00;0.00;05/01/2020
2017;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Primaria;Grado;529;117;120;73;0;0;0;47;1;18;29448.50;1889.00;4.89;88.24;80.00;87.70;0.00;0.00;05/01/2020
2017;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Primaria;Grado;397;104;120;58;0;0;0;39;4;4;22714.00;1599.00;4.71;86.38;78.33;88.56;0.00;0.00;05/01/2020
2017;Facultad de Educación;1-Magisterio en Educación Infantil;Grado;512;124;120;109;0;0;0;51;11;21;28058.00;2889.50;4.20;95.77;92.83;96.18;0.00;0.00;05/01/2020
2017;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Infantil;Grado;486;118;120;104;0;0;0;82;;8;26608.50;4761.50;4.41;90.65;84.17;91.22;0.00;0.00;05/01/2020
2017;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Infantil;Grado;374;94;120;68;0;0;0;75;2;11;20860.00;2290.50;4.52;89.76;82.40;90.61;0.00;0.00;05/01/2020
2017;Facultad de Medicina;1-Medicina;Grado;1329;180;180;276;0;0;0;369;58;74;79885.00;6559.00;6.06;96.87;94.41;97.28;0.00;0.00;05/01/2020
2017;Facultad de Ciencias de la Salud y del Deporte;1-Medicina;Grado;87;45;45;0;0;0;0;12;;0;4566.00;364.00;;98.32;97.33;;0.00;0.00;05/01/2020
2017;Facultad de Filosofía y Letras;1-Estudios Clásicos;Grado;59;18;36;4;0;0;0;9;17;1;3142.00;248.00;4.75;79.43;64.82;95.21;0.00;0.00;05/01/2020
2017;Facultad de Filosofía y Letras;1-Estudios Ingleses;Grado;408;99;100;60;0;0;0;16;103;44;22081.00;226.00;4.62;85.06;75.03;89.72;0.00;0.00;05/01/2020
2017;Facultad de Filosofía y Letras;1-Filología Hispánica;Grado;282;68;70;41;0;0;0;71;143;10;15024.00;1630.50;4.84;89.85;75.17;88.58;0.00;0.00;05/01/2020
2017;Facultad de Filosofía y Letras;1-Historia;Grado;593;156;165;69;0;0;0;81;104;15;31857.50;411.00;4.97;87.28;73.41;90.14;0.00;0.00;05/01/2020
2017;Facultad de Filosofía y Letras;1-Historia del Arte;Grado;326;72;120;24;0;0;0;41;44;26;16899.50;586.00;4.77;84.07;68.21;88.80;0.00;0.00;05/01/2020
2017;Facultad de Ciencias;1-Física;Grado;296;72;72;33;0;0;0;49;9;14;16996.50;597.50;4.57;85.04;74.91;90.19;0.00;0.00;05/01/2020
2017;Facultad de Ciencias;1-Biotecnología;Grado;275;66;66;63;0;0;0;93;11;28;15896.00;615.50;4.11;93.61;90.41;97.95;0.00;0.00;05/01/2020
2017;Facultad de Ciencias;1-Matemáticas;Grado;231;66;66;27;0;0;0;38;10;6;12950.00;708.00;5.58;80.51;64.07;76.77;0.00;0.00;05/01/2020
2017;Facultad de Ciencias;1-Química;Grado;608;149;150;94;0;0;0;97;13;37;33950.00;463.00;4.89;76.80;65.81;83.71;0.00;0.00;05/01/2020
2017;Facultad de Ciencias de la Salud y del Deporte;1-Nutrición Humana y Dietética;Grado;254;65;65;34;2;1;1;52;1;9;14458.00;606.50;4.64;91.81;85.72;93.51;0.00;0.00;05/01/2020
2017;Facultad de Ciencias de la Salud y del Deporte;1-Odontología;Grado;170;37;36;36;0;0;0;47;5;4;10096.00;499.00;5.20;94.51;91.36;99.37;0.00;0.00;05/01/2020
2017;Facultad de Veterinaria;1-Veterinaria;Grado;780;145;146;131;0;0;0;115;31;37;45781.00;1445.00;5.39;91.21;86.62;90.27;0.00;0.00;05/01/2020
2017;Facultad de Economía y Empresa;1-Administración y Dirección de Empresas;Grado;1594;397;400;296;12;0;4;508;173;84;86335.50;9792.00;5.33;79.01;68.60;89.72;0.00;0.00;05/01/2020
2017;Facultad de Empresa y Gestión Pública;1-Administración y Dirección de Empresas;Grado;234;55;65;31;22;2;6;67;17;16;10869.50;1395.00;5.29;73.27;55.28;81.03;0.00;0.00;05/01/2020
2017;Facultad de Ciencias Sociales y Humanas de Teruel;1-Administración y Dirección de Empresas;Grado;167;39;45;20;0;0;0;44;8;6;7892.00;821.00;5.47;78.42;66.46;91.06;0.00;0.00;05/01/2020
2017;Facultad de Derecho;1-Derecho;Grado;1333;305;308;304;0;0;0;456;79;68;76834.50;7160.00;4.95;84.17;77.83;91.89;0.00;0.00;05/01/2020
2017;Facultad de Economía y Empresa;1-Economía;Grado;746;158;200;92;0;0;0;135;53;22;39313.00;1074.50;5.45;76.21;62.37;79.43;0.00;0.00;05/01/2020
2017;Facultad de Economía y Empresa;1-Finanzas y Contabilidad;Grado;498;122;150;68;0;0;0;113;9;11;25703.00;2229.50;5.16;78.91;64.17;84.14;0.00;0.00;05/01/2020
2017;Facultad de Filosofía y Letras;1-Geografía y Ordenación del Territorio;Grado;178;47;50;36;0;0;0;28;39;6;9150.00;137.50;4.63;92.83;83.43;93.07;0.00;0.00;05/01/2020
2017;Facultad de Empresa y Gestión Pública;1-Gestión y Administración Pública;Grado;79;17;40;6;12;2;2;27;1;1;3279.00;1844.00;6.50;80.70;62.99;77.21;0.00;0.00;05/01/2020
2017;Facultad de Economía y Empresa;1-Marketing e Investigación de Mercados;Grado;561;145;150;72;0;0;0;105;47;21;30930.00;1218.50;5.12;81.74;69.78;87.16;0.00;0.00;05/01/2020
2017;Facultad de Ciencias Sociales y del Trabajo;1-Relaciones Laborales y Recursos Humanos;Grado;773;176;180;109;13;7;5;146;21;24;39917.00;3854.00;5.27;81.50;71.53;86.54;0.00;0.00;05/01/2020
2017;Escuela Universitaria de Turismo de Zaragoza;1-Turismo;Grado;223;47;80;37;1;0;0;65;14;14;12508.00;330.00;4.58;86.29;73.92;91.47;0.00;0.00;05/01/2020
2017;Escuela Politécnica Superior;1-Ingeniería Agroalimentaria y del Medio Rural;Grado;165;24;50;23;6;3;1;123;2;11;7992.00;4183.00;5.29;77.94;62.96;78.54;0.00;0.00;05/01/2020
2017;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería Civil;Grado;76;9;54;9;4;0;2;18;20;1;3161.00;345.00;6.25;78.33;62.43;73.44;0.00;0.00;05/01/2020
2017;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Arquitectura Técnica;Grado;96;12;54;16;3;0;2;31;21;3;3575.00;462.00;6.67;81.02;57.05;71.86;0.00;0.00;05/01/2020
2017;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería de Organización Industrial;Grado;128;39;60;20;0;0;0;58;13;4;4948.00;2287.00;4.80;91.42;66.96;86.31;0.00;0.00;05/01/2020
2017;Centro Universitario de la Defensa de Zaragoza;1-Ingeniería de Organización Industrial;Grado;1164;279;296;140;0;0;0;117;;0;56350.50;2119.50;5.52;89.26;88.59;89.74;0.00;0.00;05/01/2020
2017;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías Industriales;Grado;724;173;180;101;0;0;0;172;18;45;40769.00;1692.00;5.17;80.89;69.94;81.61;0.00;0.00;05/01/2020
2017;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías y Servicios de Telecomunicación;Grado;265;90;90;40;0;0;0;87;4;13;14694.00;879.50;5.35;77.51;57.67;80.21;0.00;0.00;05/01/2020
2017;Escuela de Ingeniería y Arquitectura;1-Ingeniería Electrica;Grado;285;65;90;36;2;0;1;96;10;9;14387.00;1963.50;6.04;72.84;54.91;75.82;0.00;0.00;05/01/2020
2017;Escuela de Ingeniería y Arquitectura;1-Ingeniería Electrónica y Automática;Grado;385;120;120;43;0;0;0;78;5;9;20339.00;1276.50;6.08;72.26;57.23;75.55;0.00;0.00;05/01/2020
