CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2018;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;;5.000;5.000;05/01/2020
2018;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;;10.856;;05/01/2020
2018;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;;10.363;;05/01/2020
2018;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;;10.017;;05/01/2020
2018;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;05/01/2020
2018;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;8.582;;05/01/2020
2018;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;05/01/2020
2018;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;;10.472;;05/01/2020
2018;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;05/01/2020
2018;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;;10.832;;05/01/2020
2018;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;;6.815;;05/01/2020
2018;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;;5.000;6.572;05/01/2020
2018;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;;9.606;;05/01/2020
2018;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;;7.606;;05/01/2020
2018;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;;9.975;;05/01/2020
2018;Grado: Geología;Zaragoza;Facultad de Ciencias;;5.000;5.000;05/01/2020
2018;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;;5.000;5.000;05/01/2020
2018;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;;8.960;;05/01/2020
2018;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;;7.203;;05/01/2020
2018;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;05/01/2020
2018;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;;8.925;;05/01/2020
2018;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;;5.000;5.000;05/01/2020
2018;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;05/01/2020
2018;Grado: Medicina;Zaragoza;Facultad de Medicina;;12.511;;05/01/2020
2018;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;;12.379;;05/01/2020
2018;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;05/01/2020
2018;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.750;05/01/2020
2018;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;05/01/2020
2018;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;05/01/2020
2018;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;05/01/2020
2018;Grado: Física;Zaragoza;Facultad de Ciencias;;11.042;;05/01/2020
2018;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;;12.507;;05/01/2020
2018;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;;10.532;;05/01/2020
2018;Grado: Química;Zaragoza;Facultad de Ciencias;;6.389;;05/01/2020
2018;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;;6.769;;05/01/2020
2018;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;;11.430;;05/01/2020
2018;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;;10.925;;05/01/2020
2018;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;;5.000;7.263;05/01/2020
2018;Grado: Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;;5.000;5.000;05/01/2020
2018;Grado: Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;05/01/2020
2018;Grado: Derecho;Zaragoza;Facultad de Derecho;;8.716;;05/01/2020
2018;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;;5.000;5.000;05/01/2020
2018;Grado: Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;;5.000;5.000;05/01/2020
