CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2016;Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Facultad;Grado;60;57;366;95.00;29/04/2018
2016;Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;160;166;1807;103.75;29/04/2018
2016;Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Centro adscrito;Grado;54;53;1317;98.15;29/04/2018
2016;Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Centro adscrito;Grado;33;33;1196;100.00;29/04/2018
2016;Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;55;55;216;100.00;29/04/2018
2016;Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;85;85;955;100.00;29/04/2018
2016;Filosofía;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;54;348;90.00;29/04/2018
2016;Periodismo;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;60;578;100.00;29/04/2018
2016;Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;40;21;171;52.50;29/04/2018
2016;Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;60;58;1241;96.67;29/04/2018
2016;Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;80;79;671;98.75;29/04/2018
2016;Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;178;1142;98.89;29/04/2018
2016;Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;75;75;507;100.00;29/04/2018
2016;Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Grado;60;60;582;100.00;29/04/2018
2016;Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;70;72;725;102.86;29/04/2018
2016;Geología;Zaragoza;Facultad de Ciencias;Facultad;Grado;65;38;143;58.46;29/04/2018
2016;Óptica y Optometría;Zaragoza;Facultad de Ciencias;Facultad;Grado;60;59;688;98.33;29/04/2018
2016;Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;Facultad;Grado;240;243;1404;101.25;29/04/2018
2016;Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;121;638;100.83;29/04/2018
2016;Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;101;686;84.17;29/04/2018
2016;Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;Facultad;Grado;120;122;1037;101.67;29/04/2018
2016;Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;119;758;99.17;29/04/2018
2016;Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;106;588;88.33;29/04/2018
2016;Medicina;Zaragoza;Facultad de Medicina;Facultad;Grado;180;181;3533;100.56;29/04/2018
2016;Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;45;46;3180;102.22;29/04/2018
2016;Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;40;21;169;52.50;29/04/2018
2016;Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;100;97;456;97.00;29/04/2018
2016;Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;70;70;309;100.00;29/04/2018
2016;Historia;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;165;140;603;84.85;29/04/2018
2016;Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;120;81;387;67.50;29/04/2018
2016;Física;Zaragoza;Facultad de Ciencias;Facultad;Grado;80;81;491;101.25;29/04/2018
2016;Biotecnología;Zaragoza;Facultad de Ciencias;Facultad;Grado;66;66;873;100.00;29/04/2018
2016;Matemáticas;Zaragoza;Facultad de Ciencias;Facultad;Grado;66;64;444;96.97;29/04/2018
2016;Química;Zaragoza;Facultad de Ciencias;Facultad;Grado;150;142;842;94.67;29/04/2018
2016;Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;65;65;869;100.00;29/04/2018
2016;Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;36;35;861;97.22;29/04/2018
2016;Veterinaria;Zaragoza;Facultad de Veterinaria;Facultad;Grado;146;145;1525;99.32;29/04/2018
2016;Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;400;393;1635;98.25;29/04/2018
2016;Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;65;50;220;76.92;29/04/2018
2016;Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;45;34;137;75.56;29/04/2018
2016;Derecho;Zaragoza;Facultad de Derecho;Facultad;Grado;308;311;1091;100.97;29/04/2018
2016;Economía;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;200;193;1031;96.50;29/04/2018
2016;Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;141;749;94.00;29/04/2018
2016;Geografía y Ordenación del Territorio;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;50;42;288;84.00;29/04/2018
2016;Gestión y Administración Pública;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;40;15;88;37.50;29/04/2018
2016;Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;145;1230;96.67;29/04/2018
2016;Relaciones Laborales y Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;177;963;98.33;29/04/2018
2016;Turismo;Zaragoza;Escuela Universitaria de Turismo de Zaragoza;Centro adscrito;Grado;80;64;511;80.00;29/04/2018
2016;Ingeniería Agroalimentaria y del Medio Rural;Huesca;Escuela Politécnica Superior;Facultad;Grado;50;36;119;72.00;29/04/2018
2016;Ingeniería Civil;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;60;10;75;16.67;29/04/2018
2016;Arquitectura Técnica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;60;14;87;23.33;29/04/2018
2016;Ingeniería de Organización Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;60;41;108;68.33;29/04/2018
2016;Ingeniería de Tecnologías Industriales;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;180;177;593;98.33;29/04/2018
2016;Ingeniería de Tecnologías y Servicios de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;85;399;94.44;29/04/2018
2016;Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;75;439;83.33;29/04/2018
2016;Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;120;116;676;96.67;29/04/2018
2016;Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;30;19;73;63.33;29/04/2018
2016;Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;92;583;102.22;29/04/2018
2016;Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;33;31;184;93.94;29/04/2018
2016;Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;240;238;868;99.17;29/04/2018
2016;Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;60;51;187;85.00;29/04/2018
2016;Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;83;513;92.22;29/04/2018
2016;Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;55;54;321;98.18;29/04/2018
2016;Programa conjunto ADE/Derecho;Zaragoza;Facultad de Derecho;Facultad;Grado;80;80;378;100.00;29/04/2018
2016;Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;70;68;261;97.14;29/04/2018
