CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2017;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Abandono Voluntario;Hombres;0;5;1;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Abandono Voluntario;Mujeres;0;2;0;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Hombres;10;0;0;0;6.50;71.64;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Mujeres;6;0;0;0;6.75;72.08;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Abandono Voluntario;Hombres;0;13;1;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Abandono Voluntario;Mujeres;0;3;0;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;0;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Graduado;Hombres;7;0;0;0;6.00;83.28;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Graduado;Mujeres;2;0;0;0;7.00;61.74;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Hombres;0;11;7;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Mujeres;0;1;1;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Graduado;Hombres;17;0;0;0;5.00;82.87;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Graduado;Mujeres;3;0;0;0;4.50;96.30;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Abandono Voluntario;Hombres;0;13;5;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Cambio de estudios sin simultaneidad;Hombres;0;5;5;0;;;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Graduado;Hombres;15;0;0;0;5.07;89.78;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Graduado;Mujeres;3;0;0;0;4.00;100.00;05/01/2020
2017;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;05/01/2020
2017;Huesca;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;28;6;0;;;05/01/2020
2017;Huesca;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;22;3;0;;;05/01/2020
2017;Huesca;Grado: Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;05/01/2020
2017;Huesca;Grado: Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;4;4;0;;;05/01/2020
2017;Huesca;Grado: Administración y Dirección de Empresas;Grado;Graduado;Hombres;23;0;0;0;5.50;77.97;05/01/2020
2017;Huesca;Grado: Administración y Dirección de Empresas;Grado;Graduado;Mujeres;8;0;0;0;4.67;92.43;05/01/2020
2017;Huesca;Grado: Administración y Dirección de Empresas;Grado;Incumple Régimen de permanencia;Hombres;0;4;1;0;;;05/01/2020
