CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2017;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;;5.000;5.000;13/01/2019
2017;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;;10.580;;13/01/2019
2017;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;;10.052;;13/01/2019
2017;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;;9.523;;13/01/2019
2017;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;13/01/2019
2017;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;8.472;;13/01/2019
2017;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;13/01/2019
2017;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;;10.201;;13/01/2019
2017;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;13/01/2019
2017;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;;10.170;;13/01/2019
2017;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;;5.000;;13/01/2019
2017;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;;5.000;7.707;13/01/2019
2017;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;;8.334;;13/01/2019
2017;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;;9.770;;13/01/2019
2017;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;;9.403;;13/01/2019
2017;Grado: Geología;Zaragoza;Facultad de Ciencias;;5.000;;13/01/2019
2017;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;;5.000;9.433;13/01/2019
2017;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;;8.220;;13/01/2019
2017;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;;5.000;;13/01/2019
2017;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;13/01/2019
2017;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;;8.430;;13/01/2019
2017;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;;5.000;9.638;13/01/2019
2017;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;5.000;5.000;13/01/2019
2017;Grado: Medicina;Zaragoza;Facultad de Medicina;;12.450;;13/01/2019
2017;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;;12.301;;13/01/2019
2017;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;13/01/2019
2017;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;;5.816;;13/01/2019
2017;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;13/01/2019
2017;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;13/01/2019
2017;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;13/01/2019
2017;Grado: Física;Zaragoza;Facultad de Ciencias;;10.645;;13/01/2019
2017;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;;12.120;;13/01/2019
2017;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;;9.529;;13/01/2019
2017;Grado: Química;Zaragoza;Facultad de Ciencias;;5.000;7.090;13/01/2019
2017;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;;6.750;;13/01/2019
2017;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;;11.126;;13/01/2019
2017;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;;10.632;;13/01/2019
2017;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;;5.000;7.540;13/01/2019
2017;Grado: Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;;5.000;5.000;13/01/2019
