CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2017;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Facultad;Grado;60;32;255;53.33;13/01/2019
2017;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;160;160;1781;100.00;13/01/2019
2017;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Centro adscrito;Grado;54;53;1286;98.15;13/01/2019
2017;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Centro adscrito;Grado;33;33;1063;100.00;13/01/2019
2017;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;55;26;173;47.27;13/01/2019
2017;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;85;82;856;96.47;13/01/2019
2017;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;59;324;98.33;13/01/2019
2017;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;61;594;101.67;13/01/2019
2017;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;36;22;137;61.11;13/01/2019
2017;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;60;62;1138;103.33;13/01/2019
2017;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;80;76;518;95.00;13/01/2019
2017;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;179;1008;99.44;13/01/2019
2017;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;75;75;459;100.00;13/01/2019
2017;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Grado;60;61;564;101.67;13/01/2019
2017;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;70;70;655;100.00;13/01/2019
2017;Grado: Geología;Zaragoza;Facultad de Ciencias;Facultad;Grado;67;27;109;40.30;13/01/2019
2017;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;Facultad;Grado;60;60;572;100.00;13/01/2019
2017;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;Facultad;Grado;240;240;1320;100.00;13/01/2019
2017;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;117;677;97.50;13/01/2019
2017;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;104;610;86.67;13/01/2019
2017;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;Facultad;Grado;120;124;995;103.33;13/01/2019
2017;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;118;687;98.33;13/01/2019
2017;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;94;539;78.33;13/01/2019
2017;Grado: Medicina;Zaragoza;Facultad de Medicina;Facultad;Grado;180;180;3315;100.00;13/01/2019
2017;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;45;45;2951;100.00;13/01/2019
2017;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;36;18;130;50.00;13/01/2019
2017;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;100;99;452;99.00;13/01/2019
2017;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;70;68;271;97.14;13/01/2019
2017;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;165;156;559;94.55;13/01/2019
2017;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;120;72;344;60.00;13/01/2019
2017;Grado: Física;Zaragoza;Facultad de Ciencias;Facultad;Grado;72;72;472;100.00;13/01/2019
2017;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;Facultad;Grado;66;66;881;100.00;13/01/2019
2017;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;Facultad;Grado;66;66;535;100.00;13/01/2019
2017;Grado: Química;Zaragoza;Facultad de Ciencias;Facultad;Grado;150;149;766;99.33;13/01/2019
2017;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;65;65;889;100.00;13/01/2019
2017;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;36;37;788;102.78;13/01/2019
2017;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;Facultad;Grado;146;145;1344;99.32;13/01/2019
