CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2018;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;202;37;60;36;0;0;0;14;4;6;10448.00;369.00;6.06;81.03;70.64;78.23;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud;1-Enfermería;Grado;608;160;160;134;0;0;0;165;14;13;35748.00;1841.00;4.02;97.23;94.88;97.70;0.00;0.00;27/09/2020
2018;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;199;55;54;49;0;0;0;59;1;0;11849.00;884.00;4.03;97.35;96.49;98.39;0.00;0.00;27/09/2020
2018;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;135;33;35;33;0;0;0;46;;2;7722.00;324.00;4.27;98.06;97.08;97.85;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;178;49;50;33;0;0;0;14;21;32;10269.00;218.50;4.52;98.23;90.62;92.49;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;370;84;85;85;0;0;0;29;19;44;21240.00;598.50;4.35;90.09;86.55;92.90;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Filosofía;Grado;220;59;60;27;0;0;0;21;30;5;11080.00;397.50;5.36;91.26;67.28;81.25;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Periodismo;Grado;264;60;60;45;0;0;0;26;43;15;14931.50;399.00;4.25;97.25;92.35;98.26;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;79;19;36;9;0;0;0;8;6;2;3992.00;80.50;5.12;85.56;72.20;86.26;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud;1-Fisioterapia;Grado;240;59;60;56;0;0;0;9;4;13;14175.00;420.00;4.12;96.23;92.99;96.22;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud;1-Terapia Ocupacional;Grado;308;78;80;63;1;0;1;9;2;2;17641.50;232.00;4.28;94.73;88.12;91.57;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y del Trabajo;1-Trabajo Social;Grado;723;182;180;132;9;6;0;59;23;33;42143.00;2247.00;4.31;91.88;84.62;94.72;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Ingeniero en Diseño Industrial y Desarrollo de Producto;Grado;329;74;75;55;0;0;0;104;24;23;19386.00;1362.00;4.45;87.29;81.00;88.47;0.00;0.00;27/09/2020
2018;Facultad de Veterinaria;1-Ciencia y Tecnología de los Alimentos;Grado;263;58;60;37;0;0;0;35;10;13;15302.00;1481.50;4.67;89.30;84.08;87.79;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud y del Deporte;1-Ciencias de la Actividad Física y del Deporte;Grado;311;70;70;62;0;0;0;51;3;19;16854.00;1004.50;4.41;93.83;89.66;94.85;0.00;0.00;27/09/2020
2018;Facultad de Ciencias;1-Geología;Grado;151;47;67;23;0;0;0;10;6;4;8305.50;212.50;5.22;81.11;69.57;82.32;0.00;0.00;27/09/2020
2018;Facultad de Ciencias;1-Óptica y Optometría;Grado;243;58;60;43;0;0;0;6;;8;13748.00;100.00;4.54;87.59;77.77;89.29;0.00;0.00;27/09/2020
2018;Facultad de Educación;1-Magisterio en Educación Primaria;Grado;1122;240;240;231;26;10;18;79;15;45;60082.00;4114.50;4.61;93.64;88.26;92.27;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Primaria;Grado;549;130;120;112;0;0;0;66;;20;31701.00;2357.00;4.67;90.64;83.18;89.40;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Primaria;Grado;402;113;120;77;0;0;0;40;10;4;22958.00;591.00;4.73;88.48;82.09;86.36;0.00;0.00;27/09/2020
2018;Facultad de Educación;1-Magisterio en Educación Infantil;Grado;510;120;120;125;0;0;0;41;12;30;27848.00;1902.00;4.16;95.59;91.80;96.80;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Infantil;Grado;482;126;120;94;0;0;0;75;1;7;26609.00;3791.00;4.24;89.89;83.95;95.67;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Infantil;Grado;365;95;120;80;0;0;0;53;4;11;20348.00;1541.50;4.50;88.44;83.11;89.95;0.00;0.00;27/09/2020
2018;Facultad de Medicina;1-Medicina;Grado;1251;180;180;232;0;0;0;404;62;90;75320.50;7160.00;6.08;97.70;95.17;96.44;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud y del Deporte;1-Medicina;Grado;93;45;45;0;0;0;0;8;;0;5134.00;295.00;;99.20;98.50;;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Estudios Clásicos;Grado;72;27;32;3;0;0;0;9;11;3;3714.00;134.00;5.50;79.09;62.34;85.66;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Estudios Ingleses;Grado;409;96;100;55;0;0;0;26;76;54;22574.00;282.50;4.52;82.12;73.20;91.68;0.00;0.00;27/09/2020
