CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2016;Escuela Politécnica Superior;Ciencias Ambientales;Grado;243;57;60;42;0;0;0;24;2;6;12324.00;611.50;5.35;79.38;68.50;82.77;0.00;0.00;29/04/2018
2016;Facultad de Ciencias de la Salud;Enfermería;Grado;640;166;160;165;0;0;0;32;10;7;37908.00;968.00;4.08;97.06;94.16;96.04;0.00;0.00;29/04/2018
2016;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;198;53;54;40;0;0;0;16;1;5;11703.00;979.00;4.00;97.24;94.95;96.29;0.00;0.00;29/04/2018
2016;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;131;33;33;28;0;0;0;7;;0;7733.00;261.00;4.19;98.59;97.71;97.39;0.00;0.00;29/04/2018
2016;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;186;55;55;23;0;0;0;17;16;14;10001.00;321.50;4.87;94.98;86.33;94.62;0.00;0.00;29/04/2018
2016;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;354;85;85;63;0;0;0;42;9;27;21060.00;379.50;4.37;88.57;84.71;91.06;0.00;0.00;29/04/2018
2016;Facultad de Filosofía y Letras;Filosofía;Grado;188;54;60;11;0;0;0;4;17;9;10303.50;28.00;4.40;87.63;68.57;93.75;0.00;0.00;29/04/2018
2016;Facultad de Filosofía y Letras;Periodismo;Grado;258;60;60;54;0;0;0;24;44;13;14193.00;316.00;4.42;97.47;94.19;96.21;0.00;0.00;29/04/2018
2016;Facultad de Filosofía y Letras;Información y Documentación;Grado;87;21;40;12;0;0;0;14;11;1;4449.00;435.00;5.40;88.07;80.61;86.46;0.00;0.00;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Arquitectura;Grado;1;0;;1;0;0;0;0;;0;12.00;0.00;9.00;100.00;100.00;80.65;;;29/04/2018
2016;Facultad de Ciencias de la Salud;Fisioterapia;Grado;252;58;60;57;0;0;0;7;1;9;14778.00;294.50;4.08;95.83;91.65;95.29;0.00;0.00;29/04/2018
2016;Facultad de Ciencias de la Salud;Terapia Ocupacional;Grado;308;79;80;64;0;0;0;9;4;2;18699.00;735.00;4.15;94.40;89.03;93.58;0.00;0.00;29/04/2018
2016;Facultad de Ciencias Sociales y del Trabajo;Trabajo Social;Grado;703;178;180;136;1;0;0;42;35;38;40395.00;648.50;4.33;93.55;87.80;94.69;0.00;0.00;29/04/2018
2016;Escuela de Ingeniería y Arquitectura;Ingeniero en Diseño Industrial y Desarrollo de Producto;Grado;335;75;75;74;0;0;0;54;20;27;19797.50;879.50;4.31;88.89;81.71;91.86;0.00;0.00;29/04/2018
2016;Facultad de Veterinaria;Ciencia y Tecnología de los Alimentos;Grado;252;60;60;52;0;0;0;24;7;11;14946.00;607.00;4.40;88.89;83.21;87.83;0.00;0.00;29/04/2018
